time,risk_treat,norisk_treat,risk_exchange,norisk_exchange
0,80,80,120,120
12,90,95,140,145
24,105,110,165,170
36,115,125,180,190
48,125,140,200,215
60,140,160,220,235
72,150,170,240,260
84,150,185,240,260
96,150,185,240,260
108,150,185,240,260
120,150,185,240,260
132,150,185,240,260
144,150,185,240,260
156,150,185,240,260
168,150,185,240,260
