time,risk_treat,norisk_treat,risk_exchange,norisk_exchange
0,80,80,120,120
12,85,90,135,140
24,100,110,155,160
36,105,120,170,180
48,115,135,190,200
60,122,145,205,220
72,130,160,220,240
84,130,170,220,240
96,130,170,220,240
108,130,170,220,240
120,130,170,220,240
132,130,170,220,240
144,130,170,220,240
156,130,170,220,240
168,130,170,220,240
