time,p75,p95,treat,exchange
24,110,140,190,325
36,150,185,230,350
48,185,225,260,375
60,210,255,280,390
72,230,275,300,405
84,248,290,320,415
96,260,295,335,425
108,265,300,350,425
120,270,300,355,425
132,270,300,360,425
144,,,360,425
156,,,360,425
168,,,360,425
