time,risk_treat,norisk_treat,risk_exchange,norisk_exchange
0,80,80,120,140
12,95,100,140,165
24,110,125,165,195
36,125,140,190,220
48,140,165,215,250
60,155,185,235,275
72,170,205,260,300
84,170,225,260,300
96,170,225,260,300
108,170,225,260,300
120,170,225,260,300
132,170,225,260,300
144,170,225,260,300
156,170,225,260,300
168,170,225,260,300
